,SE-Area,SE-Prob,Task Id,Task Name,,Multi-class? def: Binary,Openness of labels set,Multi-label? def: Single-label,Soft (probability)? def: Hard,Granularity,Explained?,Type of question wrt Vuls,Mult/Openness VulSet,Few-Shot,ReAct,CoT,ToT,RAG,Infiller,FeedbackLoop,Self-Validation,LLM-Downstream Task Class,LLM-Task Category
49,1 - Testing,05 - DataSet/Mutant Generation,LLMorpheus,\gen{DifferentBehavior-Mutation-Generation},#NAME?,,,,,,,,,,,,,,,,,01 - General-Code Generation,1 - Generative
155,2 - Debugging,17 - Fault Localization,LLM4CBI,\gen{MutationSpecified-Code-Mutation},#NAME?,,,,,,,,,,,,,,,,,01 - General-Code Generation,1 - Generative
44,1 - Testing,05 - DataSet/Mutant Generation,BugFarm ,\gen{BugInjecting-Code-Mutation},#NAME?,,,,,,,,,,,,,,,,,01 - General-Code Generation,1 - Generative
40,1 - Testing,05 - DataSet/Mutant Generation,FSML_DS/MG,\gen{Line-Mutation},#NAME?,,,,,,,,,1,,,,,,,,01 - General-Code Generation,1 - Generative
24,1 - Testing,02 - Failure-Inducing Test Generation,AID_1,\gen{IntentCorresponding-Code-Correction},#NAME?,,,,,,,,,,,,,,,,,01 - General-Code Generation,1 - Generative
254,5 - Program Verification,29 - Program Verification,AlloyRepair_1,\gen{FeedbackGuided-Specification-Correction},#NAME?,,,,,,,,,,,,,,,,,01 - General-Code Generation,1 - Generative
255,5 - Program Verification,29 - Program Verification,AlloyRepair_2,\gen{SuggestionGuided-Specification-Correction},#NAME?,,,,,,,,,,,,,,,,,01 - General-Code Generation,1 - Generative
46,1 - Testing,05 - DataSet/Mutant Generation,CHEMFUZZ_1,\gen{Valid\&Diversified-Code-Completion},#NAME?,,,,,,,,,,,,,,,,,01 - General-Code Generation,1 - Generative
45,1 - Testing,05 - DataSet/Mutant Generation,µBERT,\gen{Code-Completion},#NAME?,,,,,,,,,,,,,,1,,,01 - General-Code Generation,1 - Generative
77,1 - Testing,10 - DL-Libraries Fuzzing,TitanFuzz_2,\gen{Code-Completion},#NAME?,,,,,,,,,,,,,,1,,,01 - General-Code Generation,1 - Generative
196,3 - Vulnerability/Misuse/Fault Detection,20 - Line-level Fault/API Misuse Prediction,FLAG,\gen{ContextConsistent-Line-Completion},#NAME?,,,,,,,,,,,,,,,,,01 - General-Code Generation,1 - Generative
79,1 - Testing,10 - DL-Libraries Fuzzing,FuzzGPT_2,\gen{ModificationSpecified-Code-Edition},#NAME?,,,,,,,,,,,,,,,,,01 - General-Code Generation,1 - Generative
204,3 - Vulnerability/Misuse/Fault Detection,20 - Line-level Fault/API Misuse Prediction,WitheredLeaf_3(CoT),\tgen{fix},#NAME?,,,,,,,,,,,,,,,,,01 - General-Code Generation,1 - Generative
50,1 - Testing,06 - General Fuzzing,OSS-Fuzz_1,\gen{DriverCode-Generation},#NAME?,,,,,,,,,,,,,,,,,02 - Domain-Specific-Code Generation,1 - Generative
57,1 - Testing,06 - General Fuzzing,UGCTX_1,\gen{DriverCode-Generation},#NAME?,,,,,,,,,,,,,,,,,02 - Domain-Specific-Code Generation,1 - Generative
264,5 - Program Verification,29 - Program Verification,Dafny-Synth_3,\gen{IntentCorresponding-Signature-Generation},#NAME?,,,,,,,,,,,,,,,,,02 - Domain-Specific-Code Generation,1 - Generative
95,1 - Testing,12 - Functional Testing,ScenarioNL_4,\gen{ProbabilisticProgram-Generation},#NAME?,,,,,,,,,1,,,,1,,,,02 - Domain-Specific-Code Generation,1 - Generative
124,1 - Testing,14 - Oracle Problem,Eywa,\gen{ProtocolModelImplementation-Generation},#NAME?,,,,,,,,,,,,,,,,,02 - Domain-Specific-Code Generation,1 - Generative
25,1 - Testing,02 - Failure-Inducing Test Generation,AID_2,\gen{ConstraintSatisfying-InputGenerator-Generation},#NAME?,,,,,,,,,,,,,,,,,02 - Domain-Specific-Code Generation,1 - Generative
32,1 - Testing,03 - Input Generation,InputBlaster_4,\gen{InputGenerator-Generation},#NAME?,,,,,,,,,1,,,,,,,,02 - Domain-Specific-Code Generation,1 - Generative
34,1 - Testing,03 - Input Generation,PBT-GPT_2,\gen{InputGenerator-Generation},#NAME?,,,,,,,,,,,,,,,,,02 - Domain-Specific-Code Generation,1 - Generative
137,1 - Testing,14 - Oracle Problem,EMR_3,\gen{RequirementsDerivable-ExecutionMethamorpicRelations-Generation},#NAME?,,,,,,,,,1,,,,,,,,02 - Domain-Specific-Code Generation,1 - Generative
245,4 - Static Analysis,25 - Data-Flow Analysis,LLMDFA_5,\gen{PathConditionEncoding-Code-Correction},#NAME?,,,,,,,,,,,,,,,,,02 - Domain-Specific-Code Generation,1 - Generative
242,4 - Static Analysis,25 - Data-Flow Analysis,LLMDFA_2,\gen{Source/Sink-ElementIdentificationCode-Correction},#NAME?,,,,,,,,,,,,,,,,,02 - Domain-Specific-Code Generation,1 - Generative
51,1 - Testing,06 - General Fuzzing,OSS-Fuzz_2,\gen{ErrorAware-DriverCode-Correction},#NAME?,,,,,,,,,,,,,,,,,02 - Domain-Specific-Code Generation,1 - Generative
58,1 - Testing,06 - General Fuzzing,UGCTX_2,\gen{ErrorAware-DriverCode-Correction},#NAME?,,,,,,,,,,,,,,,,,02 - Domain-Specific-Code Generation,1 - Generative
244,4 - Static Analysis,25 - Data-Flow Analysis,LLMDFA_4,\gen{PathConditionEncoding-Code-Completion},#NAME?,,,,,,,,,,,,,,,,,02 - Domain-Specific-Code Generation,1 - Generative
241,4 - Static Analysis,25 - Data-Flow Analysis,LLMDFA_1,\gen{Source/Sink-ElementIdentificationCode-Completion},#NAME?,,,,,,,,,1,,,,,,,,02 - Domain-Specific-Code Generation,1 - Generative
1,1 - Testing,01 - Unit Test Generation,TestGen-LLM,\gen{CoverageAugmenting-Test-Extension},#NAME?,,,,,,,,,,,,,,,,,03 - Test Generation,1 - Generative
4,1 - Testing,01 - Unit Test Generation,ChatGPTTests_2,\gen{CoverageAugmenting-Test-Extension},#NAME?,,,,,,,,,,,,,,,,,03 - Test Generation,1 - Generative
80,1 - Testing,10 - DL-Libraries Fuzzing,FuzzGPT_3,\gen{BugTriggering-Code-Generation},#NAME?,,,,,,,,,1,,1,,,,,,03 - Test Generation,1 - Generative
8,1 - Testing,01 - Unit Test Generation,CodeCoT,\gen{Basic\&Edge-TestCase-Generation},#NAME?,,,,,,,,,,,,,,,,,03 - Test Generation,1 - Generative
9,1 - Testing,01 - Unit Test Generation,AgentCoder,\gen{Basic\&Edge-TestCase-Generation},#NAME?,,,,,,,,,,,,,,,,,03 - Test Generation,1 - Generative
10,1 - Testing,01 - Unit Test Generation,CodaMOSA ,\gen{Targeted-Test-Generation},#NAME?,,,,,,,,,,,,,,,,,03 - Test Generation,1 - Generative
15,1 - Testing,01 - Unit Test Generation,TestPilot,\gen{BuildablePassable-Test-Generation},#NAME?,,,,,,,,,,,,,,,,,03 - Test Generation,1 - Generative
146,2 - Debugging,15 - Bug Reproduction,LIBRO,\gen{BugReproducing-Test-Generation},#NAME?,,,,,,,,,1,,,,,,,,03 - Test Generation,1 - Generative
5,1 - Testing,01 - Unit Test Generation,CodeT,\gen{IntentCorresponding-Test-Generation},#NAME?,,,,,,,,,,,,,,,,,03 - Test Generation,1 - Generative
19,1 - Testing,01 - Unit Test Generation,ChatTESTER_2,\gen{IntentCorresponding-Test-Generation},#NAME?,,,,,,,,,,,,,,,,,03 - Test Generation,1 - Generative
26,1 - Testing,02 - Failure-Inducing Test Generation,secTests,\gen{Mimicking-Test-Generation},#NAME?,,,,,,,,,,,,,,,,,03 - Test Generation,1 - Generative
13,1 - Testing,01 - Unit Test Generation,CoverUp_1,\gen{CoverageAugmenting-Test-Generation},#NAME?,,,,,,,,,,,,,,,,,03 - Test Generation,1 - Generative
17,1 - Testing,01 - Unit Test Generation,TELPA,\gen{CoverageAugmenting-Test-Generation},#NAME?,,,,,,,,,,,,,,,,,03 - Test Generation,1 - Generative
43,1 - Testing,05 - DataSet/Mutant Generation,MuTAP_3,\gen{AssertionObservable-Differential-Test-Generation},#NAME?,,,,,,,,,,,,,,,,,03 - Test Generation,1 - Generative
2,1 - Testing,01 - Unit Test Generation,FSML_UTG,\gen{Test-Generation},#NAME?,,,,,,,,,1,,,,,,,,03 - Test Generation,1 - Generative
3,1 - Testing,01 - Unit Test Generation,ChatGPTTests_1,\gen{Test-Generation},#NAME?,,,,,,,,,,,,,,,,,03 - Test Generation,1 - Generative
6,1 - Testing,01 - Unit Test Generation,ChatUniTest_1,\gen{Test-Generation},#NAME?,,,,,,,,,,,,,,,,,03 - Test Generation,1 - Generative
16,1 - Testing,01 - Unit Test Generation,EASEeval,\gen{Test-Generation},#NAME?,,,,,,,,,,,,,,,,,03 - Test Generation,1 - Generative
23,1 - Testing,02 - Failure-Inducing Test Generation,DiffPrompt_3,\gen{Test-Generation},#NAME?,,,,,,,,,,,,,,,,,03 - Test Generation,1 - Generative
41,1 - Testing,05 - DataSet/Mutant Generation,MuTAP_1,\gen{Test-Generation},#NAME?,,,,,,,,,1,,,,,,,,03 - Test Generation,1 - Generative
36,1 - Testing,03 - Input Generation,PBT-GPT_4,\gen{PropertyBasedTest-Generation},#NAME?,,,,,,,,,,,,,,,,,03 - Test Generation,1 - Generative
35,1 - Testing,03 - Input Generation,PBT-GPT_3,\gen{ParametrizedTest-Generation},#NAME?,,,,,,,,,,,,,,,,,03 - Test Generation,1 - Generative
7,1 - Testing,01 - Unit Test Generation,ChatUniTest_2,\gen{ErrorAware-Test-Correction},#NAME?,,,,,,,,,,,,,,,,,03 - Test Generation,1 - Generative
20,1 - Testing,01 - Unit Test Generation,ChatTESTER_3,\gen{ErrorAware-Test-Correction},#NAME?,,,,,,,,,,,,,,,,,03 - Test Generation,1 - Generative
42,1 - Testing,05 - DataSet/Mutant Generation,MuTAP_2,\gen{ErrorAware-Test-Correction},#NAME?,,,,,,,,,1,,,,,,,,03 - Test Generation,1 - Generative
14,1 - Testing,01 - Unit Test Generation,CoverUp_2,\gen{CoverageAugmenting-Test-Correction},#NAME?,,,,,,,,,,,,,,,,,03 - Test Generation,1 - Generative
81,1 - Testing,10 - DL-Libraries Fuzzing,FuzzGPT_4,\gen{BugRevealing-Code-Completion},#NAME?,,,,,,,,,,,,,,,,,03 - Test Generation,1 - Generative
277,5 - Program Verification,29 - Program Verification,Lemur_1,\gen{Invariant-Lemma-Generation},#NAME?,,,,,,,,,,,,,,,,,04 - Annotation Generation,1 - Generative
281,5 - Program Verification,29 - Program Verification,RustProof_2,\gen{Invariant-Lemma-Generation},#NAME?,,,,,,,,,1,,1,,,,,,04 - Annotation Generation,1 - Generative
260,5 - Program Verification,29 - Program Verification,SpecGen_1,\gen{CodeCorresponding-Specification-Generation},#NAME?,,,,,,,,,1,,,,,,,,04 - Annotation Generation,1 - Generative
276,5 - Program Verification,29 - Program Verification,AutoSpec,\gen{Annotation-Generation},#NAME?,,,,,,,,,1,,,,,,,,04 - Annotation Generation,1 - Generative
33,1 - Testing,03 - Input Generation,PBT-GPT_1,\gen{Postcondition-Assertion-Generation},#NAME?,,,,,,,,,,,,,,,,,04 - Annotation Generation,1 - Generative
125,1 - Testing,14 - Oracle Problem,PropertyGPT_1,\gen{Similar-Assertion-Generation},#NAME?,,,,,,,,,,,,,1,,,,04 - Annotation Generation,1 - Generative
126,1 - Testing,14 - Oracle Problem,PropertyGPT_2,\gen{Similar-Assertion-Generation},#NAME?,,,,,,,,,,,,,1,,,,04 - Annotation Generation,1 - Generative
258,5 - Program Verification,29 - Program Verification,Loopy_1,\gen{Inductive\&SufficientLoopInvariant-Assertion-Generation},#NAME?,,,,,,,,,,,,,,,,,04 - Annotation Generation,1 - Generative
123,1 - Testing,14 - Oracle Problem,TOGLL ,\gen{Assertion-Generation},#NAME?,,,,,,,,,,,,,,,,,04 - Annotation Generation,1 - Generative
133,1 - Testing,14 - Oracle Problem,CEDAR,\gen{Assertion-Generation},#NAME?,,,,,,,,,1,,,,1,,,,04 - Annotation Generation,1 - Generative
283,5 - Program Verification,29 - Program Verification,RustProof_3,\gen{ErrorAware-Lemma-Correction},#NAME?,,,,,,,,,,,1,,,,,,04 - Annotation Generation,1 - Generative
278,5 - Program Verification,29 - Program Verification,Lemur_2,\gen{Invariant-Lemma-Correction} ,#NAME?,,,,,,,,,,,,,,,,,04 - Annotation Generation,1 - Generative
63,1 - Testing,07 - Kernel Fuzzing,KernelGPT_5,\gen{ErrorAware-Specification-Correction},#NAME?,,,,,,,,,1,,,,,,,,04 - Annotation Generation,1 - Generative
261,5 - Program Verification,29 - Program Verification,SpecGen_2,\gen{ErrorAware-Specification-Correction},#NAME?,,,,,,,,,1,,,,,,,,04 - Annotation Generation,1 - Generative
127,1 - Testing,14 - Oracle Problem,PropertyGPT_3,\gen{ErrorAware-Assertion-Correction},#NAME?,,,,,,,,,,,,,,,,,04 - Annotation Generation,1 - Generative
259,5 - Program Verification,29 - Program Verification,Loopy_2,\gen{SyntaxInductivenessSufficiencyAware-Assertion-Correction},#NAME?,,,,,,,,,,,,,,,,,04 - Annotation Generation,1 - Generative
128,1 - Testing,14 - Oracle Problem,PropertyGPT_4,\gen{MissingFunction-Assertion-Correction},#NAME?,,,,,,,,,,,,,,,,,04 - Annotation Generation,1 - Generative
272,5 - Program Verification,29 - Program Verification,Clover_5,\gen{HoareValid-Annotation-Completion},#NAME?,,,,,,,,,,,,,,,,,04 - Annotation Generation,1 - Generative
257,5 - Program Verification,29 - Program Verification,ChatInv,\gen{Assertion-Completion},#NAME?,,,,,,,,,,,,,,1,,,04 - Annotation Generation,1 - Generative
83,1 - Testing,11 - GUI Testing,QTypist_2,\gen{Input-InFilling},#NAME?,,,,,,,,,,,,,,,,,05 - Data Generation,1 - Generative
37,1 - Testing,03 - Input Generation,mrDetector_1,\gen{LikelyRecalling-Data-Generation},#NAME?,,,,,,,,,1,,1,,,,,,05 - Data Generation,1 - Generative
71,1 - Testing,09 - Protocol/Parser Fuzzing,FuzzingParsers_4,\gen{ErrorTriggering-Data-Variation-Generation},#NAME?,,,,,,,,,,,,,,,,,05 - Data Generation,1 - Generative
52,1 - Testing,06 - General Fuzzing,ChatFuzz,\gen{File-Variation-Generation},#NAME?,,,,,,,,,,,,,,1,,,05 - Data Generation,1 - Generative
56,1 - Testing,06 - General Fuzzing,Fuzz4All_4,\gen{Input-Variation-Generation},#NAME?,,,,,,,,,,,,,,,,,05 - Data Generation,1 - Generative
115,1 - Testing,14 - Oracle Problem,SELF-DEBUGGING_OP2,\gen{QueryConsistent-TableResult-Generation} ,#NAME?,,,,,,,,,1,,,,,,,,05 - Data Generation,1 - Generative
96,1 - Testing,12 - Functional Testing,LLMeDiff,\gen{Pass+Fail+N/A-Test-Generation},#NAME?,,,,,,,,,,,,,,,,,05 - Data Generation,1 - Generative
65,1 - Testing,08 - Compiler/Simulator Fuzzing,SearchGEM5_2,\gen{Valid-Input-Generation},#NAME?,,,,,,,,,1,,,,,,,,05 - Data Generation,1 - Generative
54,1 - Testing,06 - General Fuzzing,Fuzz4All_2,\gen{UsageSastifying-Input-Generation},#NAME?,,,,,,,,,,,,,,,,,05 - Data Generation,1 - Generative
28,1 - Testing,03 - Input Generation,RESTGPT_2,\gen{ConstraintSatisfying-Input-Generation},#NAME?,,,,,,,,,1,,,,,,,,05 - Data Generation,1 - Generative
39,1 - Testing,04 - Regression Testing,SymPrompt,\gen{ConstraintSatisfying-Input-Generation},#NAME?,,,,,,,,,,,,,,,,,05 - Data Generation,1 - Generative
67,1 - Testing,08 - Compiler/Simulator Fuzzing,WhiteFox_2,\gen{ConstraintSatisfying-Input-Generation},#NAME?,,,,,,,,,1,,,,,,1,,05 - Data Generation,1 - Generative
30,1 - Testing,03 - Input Generation,InputBlaster_2,\gen{Valid-GUIInput-Generation},#NAME?,,,,,,,,,1,,,,,,,,05 - Data Generation,1 - Generative
11,1 - Testing,01 - Unit Test Generation,TestChain_1,\gen{Basic\&Edge-TestInput-Generation},#NAME?,,,,,,,,,1,,,,,,,,05 - Data Generation,1 - Generative
130,1 - Testing,14 - Oracle Problem,ClarifyGPT_2,\gen{Basic\&Edge-TestInput-Generation},#NAME?,,,,,,,,,1,,,,,,,,05 - Data Generation,1 - Generative
55,1 - Testing,06 - General Fuzzing,Fuzz4All_3,\gen{SpecificationAware-Input-Mutation},#NAME?,,,,,,,,,,,,,,,,,05 - Data Generation,1 - Generative
75,1 - Testing,09 - Protocol/Parser Fuzzing,ChatAFL_3,\gen{Message-Completion},#NAME?,,,,,,,,,,,,,,,,,05 - Data Generation,1 - Generative
82,1 - Testing,11 - GUI Testing,QTypist_1,\gen{Input-Completion},#NAME?,,,,,,,,,,,,,,,,,05 - Data Generation,1 - Generative
74,1 - Testing,09 - Protocol/Parser Fuzzing,ChatAFL_2,\gen{ModificationSpecified-MS-Edition},#NAME?,,,,,,,,,,,,,,,,,05 - Data Generation,1 - Generative
111,1 - Testing,13 - Penetration Testing,pwn’d_3,\eval{Rationalized-VulnerabilityProneness-CommandExecution-MultiLabel-Classification},#NAME?,TRUE,OpenEnded,Verdadero,,Command-level,Explained,VulsDescrip,NotSpecified,,,,,,,,,06 - Behavior Analysis,2 - Evaluative
138,1 - Testing,14 - Oracle Problem,GameBugDescriptions_1,\eval{Scenario-AccordingToPerspective-Anomaly-Detection},#NAME?,FALSE,,,,,NotExplained,,,,,,,,,,,06 - Behavior Analysis,2 - Evaluative
47,1 - Testing,05 - DataSet/Mutant Generation,CHEMFUZZ_2,\eval{Behavior-Anomaly-Detection} ,#NAME?,FALSE,,,,,NotExplained,,,,,,,,,,,06 - Behavior Analysis,2 - Evaluative
162,2 - Debugging,18 - Root Cause Analysis,x-lifecycle_2,\eval{SimilarityGuided-RootCause-Analysis},#NAME?,FALSE,,,,,NotExplained,,,,,,,,,,,06 - Behavior Analysis,2 - Evaluative
148,2 - Debugging,17 - Fault Localization,SELF-DEBUGGING_FL,\eval{Differences-RootCause-Analysis},#NAME?,FALSE,,,,,NotExplained,,,1,1,,,,,,,06 - Behavior Analysis,2 - Evaluative
150,2 - Debugging,17 - Fault Localization,AutoFL_1,\eval{RootCause-Analysis} ,#NAME?,FALSE,,,,,NotExplained,,,,1,,,,,,,06 - Behavior Analysis,2 - Evaluative
152,2 - Debugging,17 - Fault Localization,AutoSD_1,\eval{RootCause-Analysis},#NAME?,FALSE,,,,,NotExplained,,,,,,,,,,,06 - Behavior Analysis,2 - Evaluative
163,2 - Debugging,18 - Root Cause Analysis,RCAAgents_1,\eval{RootCause-Analysis},#NAME?,FALSE,,,,,NotExplained,,,,1,,,,,,,06 - Behavior Analysis,2 - Evaluative
170,2 - Debugging,18 - Root Cause Analysis,inContextRCA_2,\eval{RootCause-Analysis},#NAME?,FALSE,,,,,NotExplained,,,1,,,,,,,,06 - Behavior Analysis,2 - Evaluative
103,1 - Testing,13 - Penetration Testing,PentestGPT_3,\eval{Validity-Transition-Analysis},#NAME?,FALSE,,,,,NotExplained,,,,,,,,,,,06 - Behavior Analysis,2 - Evaluative
87,1 - Testing,11 - GUI Testing,AXNav_3,\eval{PlannedAction-Successfullness-Assessment},#NAME?,FALSE,,,,,NotExplained,,,,,1,,,,,,06 - Behavior Analysis,2 - Evaluative
247,4 - Static Analysis,26 - Taint Analysis,E&V_2,\eval{Behavior-Correctness-Assessment},#NAME?,FALSE,,,,,NotExplained,,,,,,,,,,,06 - Behavior Analysis,2 - Evaluative
173,3 - Vulnerability/Misuse/Fault Detection,19 - Vulnerability Detection,ChatGPT4vul_3,\eval{ListTargeted-CWEVulnerabilityProneness-Code-MultiLabel-Classification},#NAME?,TRUE,CloseEnded,Verdadero,,Snippet-level,NotExplained,Presence (vul(s)),ListOfVulnIds,,,,,,,,,07 - Direct Code-Classification,2 - Evaluative
208,3 - Vulnerability/Misuse/Fault Detection,20 - Line-level Fault/API Misuse Prediction,LLMAPIDet_3,\eval{GivenAPIMisuseRulesCompliance-Code-OneClass-Classification},#NAME?,FALSE,CloseEnded,,,Snippet-level,NotExplained,Misuse,ListOfMisuses,,,,,1,,,,07 - Direct Code-Classification,2 - Evaluative
177,3 - Vulnerability/Misuse/Fault Detection,19 - Vulnerability Detection,NLBSE24_2,\eval{GivenIntentionCorrespondence-Code-OneClass-Classification},#NAME?,FALSE,CloseEnded,,,Snippet-level,NotExplained,Matches Functionality,Intent,,,,,,,,,07 - Direct Code-Classification,2 - Evaluative
226,3 - Vulnerability/Misuse/Fault Detection,21 - Vulnerability Detection for Smart Contracts,GPTScan_2,\eval{GivenBehaviorCorrespondence-Code-OneClass-Classification},#NAME?,FALSE,CloseEnded,,,Contract-level,NotExplained,MatchesBehavior,Description,,,1,,,,,,07 - Direct Code-Classification,2 - Evaluative
225,3 - Vulnerability/Misuse/Fault Detection,21 - Vulnerability Detection for Smart Contracts,GPTScan_1,\eval{GivenCharacteristicsCorrespondence-Code-OneClass-Classification},#NAME?,FALSE,CloseEnded,,,Contract-level,NotExplained,MatchesCharacteristics,Description,,,1,,,,,,07 - Direct Code-Classification,2 - Evaluative
120,1 - Testing,14 - Oracle Problem,SELF-DEBUGGING_OP7,\eval{Intent\&AssertionCorresponding-Code-OneClass-Classification},#NAME?,,,,,,,,,1,,1,,,,,,07 - Direct Code-Classification,2 - Evaluative
194,3 - Vulnerability/Misuse/Fault Detection,19 - Vulnerability Detection,PromptEnhanced_2,\eval{(APICalls)/(DataFlow)Enhanced-VulnerabilityProneness-Code-OneClass-Classification},#NAME?,FALSE,CloseEnded,,,Snippet-level,NotExplained,VulProneness (yes/no),DataFlowSeq,,,,,,,,,07 - Direct Code-Classification,2 - Evaluative
182,3 - Vulnerability/Misuse/Fault Detection,19 - Vulnerability Detection,GRACE,\eval{CPGEnhanced-VulnerabilityProneness-Code-OneClass-Classification},#NAME?,FALSE,CloseEnded,Verdadero,,Snippet-level,NotExplained,VulProneness (yes/no),,1,,,,,,,,07 - Direct Code-Classification,2 - Evaluative
195,3 - Vulnerability/Misuse/Fault Detection,19 - Vulnerability Detection,ChatGPT(Plus),\eval{(CWE+GivenVulnDescr)VulnerabilityProneness-Code-OneClass-Classification} ,#NAME?,FALSE,CloseEnded,,,Snippet-level,NotExplained,VulProneness (yes/no),ListOfVulnIds,1,,,,1,,,,07 - Direct Code-Classification,2 - Evaluative
171,3 - Vulnerability/Misuse/Fault Detection,19 - Vulnerability Detection,ChatGPT4vul_1,\eval{VulnerabilityProneness-Code-OneClass-Classification} ,#NAME?,FALSE,CloseEnded,,,Snippet-level,NotExplained,VulProneness (yes/no),NotSpecified,,,,,,,,,07 - Direct Code-Classification,2 - Evaluative
176,3 - Vulnerability/Misuse/Fault Detection,19 - Vulnerability Detection,NLBSE24_1,\eval{VulnerabilityProneness-Code-OneClass-Classification} ,#NAME?,FALSE,CloseEnded,,,Snippet-level,NotExplained,VulProneness (yes/no),NotSpecified,,,,,,,,,07 - Direct Code-Classification,2 - Evaluative
189,3 - Vulnerability/Misuse/Fault Detection,19 - Vulnerability Detection,MultiTask_1,\eval{VulnerabilityProneness-Code-OneClass-Classification} ,#NAME?,FALSE,CloseEnded,,,Snippet-level,NotExplained,VulProneness (yes/no),NotSpecified,,,,,,,,,07 - Direct Code-Classification,2 - Evaluative
211,3 - Vulnerability/Misuse/Fault Detection,21 - Vulnerability Detection for Smart Contracts,SmartAudit_1,\eval{ListTargeted-CWEVulnerabilityProneness-Code-OneClass-Classification} ,#NAME?,FALSE,CloseEnded,,,Contract-level,NotExplained,VulProneness (yes/no),ListOfVulnIds,,,,,,,,,07 - Direct Code-Classification,2 - Evaluative
191,3 - Vulnerability/Misuse/Fault Detection,19 - Vulnerability Detection,MultiTask_3,\eval{VulnerabilityProneness-CodeLine-OneClass-Classification} ,#NAME?,FALSE,CloseEnded,,,Line-level,NotExplained,VulProneness (yes/no),NotSpecified,,,,,,,,,07 - Direct Code-Classification,2 - Evaluative
78,1 - Testing,10 - DL-Libraries Fuzzing,FuzzGPT_1,\eval{APIUsed-Code-MultiClass-Classification} ,#NAME?,TRUE,OpenEnded,,,Snippet-level,NotExplained,APIUsed,NotSpecified,1,,,,,,,,07 - Direct Code-Classification,2 - Evaluative
185,3 - Vulnerability/Misuse/Fault Detection,19 - Vulnerability Detection,AIagent,\eval{ListTargeted-CWEVulnerabilityProneness-CodeLine-MultiClass-Classification},#NAME?,TRUE,CloseEnded,,,Line-level,NotExplained,Presence (vul(s)),ListOfVulnIds,,,,,,,,,07 - Direct Code-Classification,2 - Evaluative
